id,grpid,carid,timestamp,longitude,latitude,speed,direction
5398,35,X59F73,1302193892.000,114.079636,22.701350,33.0,180.0
5399,33,X988G5,1302193892.000,114.120660,22.543690,0.0,180.0
5400,64,X17S51,1302193893.000,114.112335,22.598097,21.0,0.0
5401,35,X34G30,1302193893.000,114.071780,22.538980,0.0,0.0
5402,63,X51L21,1302193893.000,114.046420,22.599892,0.0,0.0
5403,35,X94P50,1302193893.000,114.116800,22.539232,0.0,0.0
5404,35,X98P21,1302193893.000,114.064384,22.522900,41.0,180.0
5405,64,XA5P72,1302193893.000,114.046486,22.599950,0.0,225.0
5406,32,X163F3,1302193894.000,113.894040,22.509026,0.0,180.0
5407,94,X17G05,1302193894.000,114.117980,22.605750,69.0,180.0
5408,36,X341U2,1302193894.000,113.823190,22.665012,61.0,180.0
5409,51,X36G92,1302193894.000,114.029430,22.527310,0.0,225.0
5410,38,X57L80,1302193894.000,114.120950,22.539192,64.0,225.0
5411,44,X783Z1,1302193894.000,114.289116,22.725332,27.0,90.0
5412,32,X867U2,1302193894.000,114.044334,22.701359,35.0,315.0
5413,60,X20S50,1302193895.000,114.260580,22.721010,8.0,315.0
5414,31,X287K7,1302193895.000,114.008950,22.534187,0.0,270.0
5415,59,X35G87,1302193895.000,114.053650,22.583940,67.0,315.0
5416,62,X52L22,1302193896.000,114.101654,22.612352,0.0,0.0
5417,61,X56L83,1302193896.000,114.012690,22.543158,12.0,225.0
5418,63,X31G42,1302193897.000,114.050610,22.518257,0.0,0.0
5419,60,X35G87,1302193897.000,114.053540,22.584260,67.0,315.0
5420,29,X453K0,1302193897.000,114.064400,22.545498,9.0,0.0
5421,62,X56L55,1302193897.000,114.066010,22.523666,40.0,0.0
5422,63,X21S13,1302193898.000,114.074684,22.532043,45.0,225.0
5423,54,X34G02,1302193898.000,114.053764,22.531820,64.0,270.0
5424,35,X408Z7,1302193898.000,114.051930,22.625368,15.0,270.0
5425,34,X59D92,1302193898.000,114.143850,22.622368,73.0,45.0
5426,32,X966G5,1302193898.000,114.043800,22.556566,40.0,135.0
5427,64,X10S45,1302193899.000,114.111176,22.587152,14.0,90.0
5428,37,X357Z2,1302193899.000,114.112450,22.611650,0.0,135.0
5429,34,X52D05,1302193899.000,114.158780,22.610916,17.0,315.0
5430,35,X069V3,1302193900.000,114.069310,22.656633,38.0,90.0
5431,35,X407D0,1302193900.000,114.015114,22.542717,35.0,135.0
5432,58,X56L35,1302193901.000,114.119330,22.558207,11.0,270.0
5433,37,X860U3,1302193901.000,114.018980,22.662203,0.0,180.0
5434,32,X868U5,1302193901.000,114.051380,22.637278,8.0,0.0
5435,35,XA3F64,1302193901.000,114.122600,22.564000,27.0,45.0
5436,38,X333U5,1302193902.000,113.823395,22.673690,43.0,135.0
5437,37,X341U2,1302193902.000,113.822990,22.663815,60.0,180.0
5438,37,X962G0,1302193902.000,114.092865,22.543417,0.0,45.0
5439,35,X50F20,1302193903.000,114.011300,22.628850,39.0,315.0
5440,59,X56L35,1302193903.000,114.119270,22.558247,17.0,270.0
5441,35,X959G0,1302193903.000,114.043940,22.550512,9.0,45.0
5442,45,X35G10,1302193904.000,113.972176,22.559319,108.0,90.0
5443,63,X51L73,1302193904.000,114.085070,22.570019,59.0,315.0
5444,32,X853U3,1302193904.000,114.037680,22.653194,0.0,180.0
5445,39,X57L80,1302193905.000,114.119510,22.539152,56.0,315.0
5446,36,XA3K31,1302193905.000,114.032616,22.545567,0.0,135.0
5447,36,XQR415,1302193905.000,114.106350,22.544880,0.0,225.0
5448,33,X325U7,1302193906.000,113.840940,22.737186,38.0,135.0
5449,48,X20S11,1302193907.000,113.909080,22.513287,0.0,90.0
5450,38,X390Z1,1302193907.000,114.219086,22.663746,54.0,270.0
5451,24,X491W3,1302193907.000,114.057870,22.663294,1.0,135.0
5452,32,X765D7,1302193907.000,114.112686,22.545933,10.0,270.0
5453,34,X964G7,1302193907.000,114.102060,22.552322,8.0,180.0
5454,35,X780D2,1302193908.000,114.107620,22.569700,19.0,180.0
5455,33,X989G5,1302193908.000,114.081795,22.538640,64.0,315.0
5456,52,X36G92,1302193909.000,114.029430,22.527310,0.0,225.0
5457,37,X452W7,1302193909.000,114.031670,22.666798,26.0,0.0
5458,32,X761D7,1302193909.000,113.925150,22.522066,0.0,270.0
5459,65,X17S51,1302193910.000,114.113270,22.599573,23.0,0.0
5460,35,X21V37,1302193910.000,114.106750,22.563717,23.0,135.0
5461,35,X76F60,1302193910.000,114.076470,22.532100,40.0,225.0
5462,36,X802U7,1302193910.000,114.158920,22.609327,28.0,0.0
5463,32,X361Z7,1302193911.000,114.135560,22.689552,0.0,270.0
5464,40,X831U7,1302193911.000,114.183570,22.640194,0.0,45.0
5465,121,X412Y0,1302193912.000,114.167885,22.563984,3.0,90.0
5466,37,X332U3,1302193913.000,113.832565,22.626183,49.0,135.0
5467,28,X508W7,1302193913.000,114.030370,22.664492,9.0,180.0
5468,64,X21S13,1302193914.000,114.072340,22.531984,54.0,225.0
5469,30,X701U5,1302193914.000,114.135124,22.616596,0.0,315.0
5470,32,X987G3,1302193914.000,114.086720,22.558600,0.0,270.0
5471,30,X186F2,1302193915.000,114.022250,22.535393,23.0,135.0
5472,30,X306U0,1302193915.000,113.909000,22.567188,33.0,315.0
5473,35,X451D2,1302193915.000,113.904564,22.710917,46.0,135.0
5474,28,X515W5,1302193915.000,114.019844,22.651508,0.0,225.0
5475,64,X51L73,1302193915.000,114.083810,22.571339,66.0,270.0
5476,63,X56L55,1302193915.000,114.067580,22.523891,35.0,90.0
5477,32,X403Z5,1302193916.000,114.023445,22.673828,0.0,315.0
5478,34,X405Z5,1302193916.000,114.028076,22.667532,33.0,90.0
5479,34,X620D1,1302193916.000,114.058266,22.532383,56.0,225.0
5480,36,X777D1,1302193916.000,114.113686,22.539383,7.0,180.0
5481,35,XA5G44,1302193916.000,114.127220,22.555250,0.0,180.0
5482,34,XQR420,1302193916.000,114.091095,22.539080,0.0,180.0
5483,33,X070F0,1302193918.000,114.048660,22.537317,0.0,45.0
5484,35,X193F3,1302193918.000,114.115180,22.545940,0.0,180.0
5485,35,X253U7,1302193918.000,113.861340,22.575583,0.0,270.0
5486,31,X166F7,1302193919.000,113.911730,22.539457,26.0,90.0
5487,51,X20S21,1302193919.000,113.990135,22.541563,21.0,90.0
5488,31,X376Z2,1302193919.000,114.001460,22.734207,9.0,315.0
5489,32,X980G1,1302193919.000,114.117980,22.538052,1.0,90.0
5490,64,X31G42,1302193920.000,114.050620,22.518234,1.0,45.0
5491,52,X38G95,1302193920.000,114.068320,22.529190,60.0,0.0
5492,32,X433Z2,1302193920.000,113.982090,22.733702,61.0,225.0
5493,35,X65F70,1302193920.000,114.109750,22.602000,6.0,45.0
5494,37,XQR741,1302193921.000,113.914390,22.528997,0.0,135.0
5495,40,X16V70,1302193922.000,114.125150,22.553750,31.0,315.0
5496,64,X20S43,1302193922.000,114.066730,22.530905,0.0,90.0
5497,45,X20S52,1302193922.000,114.120720,22.547108,28.0,45.0
5498,59,X43F95,1302193922.000,114.047000,22.518917,60.0,270.0
5499,36,X858U3,1302193922.000,114.015790,22.667133,34.0,315.0
5500,37,X933W5,1302193922.000,114.072716,22.535967,34.0,315.0
5501,34,X989G3,1302193922.000,114.104004,22.559668,48.0,135.0
5502,34,X190F3,1302193923.000,113.898400,22.557041,0.0,0.0
5503,64,X51L21,1302193923.000,114.046394,22.599894,0.0,0.0
5504,65,XA5P72,1302193923.000,114.046486,22.599966,0.0,225.0
5505,52,X47G73,1302193924.000,113.902220,22.564200,0.0,0.0
5506,34,X169F0,1302193925.000,114.035000,22.601908,32.0,270.0
5507,40,X195F5,1302193925.000,114.081730,22.538239,33.0,0.0
5508,46,X35G10,1302193925.000,113.977320,22.556313,107.0,90.0
5509,36,X26X62,1302193926.000,114.126335,22.573784,0.0,0.0
5510,63,X52L22,1302193926.000,114.101654,22.612349,0.0,0.0
5511,37,XQR763,1302193926.000,113.918570,22.535427,38.0,90.0
5512,95,X17G05,1302193927.000,114.115650,22.602983,69.0,180.0
5513,36,X766D3,1302193928.000,113.918870,22.520000,0.0,90.0
5514,65,X10S45,1302193929.000,114.112960,22.584610,55.0,135.0
5515,28,X160F3,1302193929.000,114.307724,22.601328,0.0,90.0
5516,36,X17R35,1302193930.000,114.256320,22.734800,45.0,135.0
5517,36,X332D7,1302193930.000,114.113630,22.544000,0.0,0.0
5518,35,X964G7,1302193930.000,114.101974,22.552460,0.0,180.0
5519,36,XQR422,1302193930.000,114.145390,22.545164,4.0,180.0
5520,36,XQR423,1302193930.000,113.990364,22.543762,0.0,90.0
5521,29,X508W7,1302193931.000,114.030380,22.664454,4.0,180.0
5522,41,X831U7,1302193931.000,114.184250,22.640581,29.0,45.0
5523,36,X31W87,1302193932.000,114.126270,22.545134,2.0,225.0
5524,37,X372D2,1302193932.000,114.048650,22.569616,0.0,270.0
5525,122,X412Y0,1302193932.000,114.168220,22.563600,11.0,180.0
5526,96,X17G05,1302193934.000,114.113300,22.600082,72.0,180.0
5527,36,X18R81,1302193934.000,114.052550,22.720367,0.0,0.0
5528,60,X43F95,1302193934.000,114.045470,22.519392,44.0,270.0
5529,36,X98N07,1302193934.000,114.653850,22.517850,0.0,0.0
5530,36,X35F47,1302193935.000,113.955250,22.556482,62.0,225.0
5531,33,X628Z0,1302193935.000,114.037285,22.665670,54.0,315.0
5532,36,X927G2,1302193935.000,113.958435,22.565151,0.0,45.0
